Fecha;Ciudad;Sistema;Pasajeros/dia;Variacion Transmilenio;Pasajeros dia tipico laboral;Pasajeros dia sabado;Pasajeros dia festivo;DiaSemana
24/04/2020;Pereira;MEGABUS;20,44;-0,840556539;128,221;100,186;52,276;5
24/04/2020;Cartagena;TRANSCARIBE;3,88;-0,9723;140;95,43;45,203;5
24/04/2020;Barranquilla;TRANSMETRO;28,27;-0,80402839;144,276;110;52;5
24/04/2020;Cali/Valle;MIO;90,48;-0,792470183;436;308,387;149,213;5
24/04/2020;Medellin;SITVA;327,09;-0,82802535;1901,978;1498,727;780,939;5
24/04/2020;Bogota;TRANSMILENIO/SITP;710,19;-0,81601612;3860,061;2499,019;1188,607;5
25/04/2020;Bucaramanga;METROLINEA;9,54;-0,864289069;106,154;70,267;33,354;6
25/04/2020;Pereira;MEGABUS;14,50;-0,855269199;128,221;100,186;52,276;6
25/04/2020;Cartagena;TRANSCARIBE;2,63;-0,972440532;140;95,43;45,203;6
25/04/2020;Barranquilla;TRANSMETRO;22,68;-0,793818182;144,276;110;52;6
25/04/2020;Cali/Valle;MIO;69,96;-0,773145431;436;308,387;149,213;6
25/04/2020;Medellin;SITVA;256,54;-0,828827398;1901,978;1498,727;780,939;6
25/04/2020;Bogota;TRANSMILENIO/SITP;508,10;-0,796680617;3860,061;2499,019;1188,607;6
26/04/2020;Bucaramanga;METROLINEA;5,45;-0,836751214;106,154;70,267;33,354;7
26/04/2020;Pereira;MEGABUS;7,00;-0,86609534;128,221;100,186;52,276;7
26/04/2020;Cartagena;TRANSCARIBE;1,21;-0,973320355;140;95,43;45,203;7
26/04/2020;Barranquilla;TRANSMETRO;10,44;-0,799307692;144,276;110;52;7
26/04/2020;Cali/Valle;MIO;37,01;-0,751965311;436;308,387;149,213;7
26/04/2020;Medellin;SITVA;124,87;-0,840097626;1901,978;1498,727;780,939;7
26/04/2020;Bogota;TRANSMILENIO/SITP;318,25;-0,732252124;3860,061;2499,019;1188,607;7
27/04/2020;Bucaramanga;METROLINEA;26,32;-0,752020649;106,154;70,267;33,354;1
27/04/2020;Pereira;MEGABUS;24,35;-0,810101309;128,221;100,186;52,276;1
27/04/2020;Cartagena;TRANSCARIBE;4,96;-0,96455;140;95,43;45,203;1
27/04/2020;Barranquilla;TRANSMETRO;27,84;-0,807071169;144,276;110;52;1
27/04/2020;Cali/Valle;MIO;96,76;-0,778073394;436;308,387;149,213;1
