Fecha,Ciudad,Sistema,Pasajeros/dia,Variacion Transmilenio,Pasajeros dia tipico laboral,Pasajeros dia sabado,Pasajeros dia festivo,DiaSemana
16/04/2020,Barranquilla,TRANSMETRO,275,-809393108,144276,110,52,4
16/04/2020,Cali/Valle,MIO,8486,-805360092,436,308387,149213,4
16/04/2020,Medellin,SITVA,30068,-841911946,1901978,1498727,780939,4
16/04/2020,Bogota,TRANSMILENIO/SITP,6813,-823500717,3860061,2499019,1188607,4
17/04/2020,Bucaramanga,METROLINEA,2176,-79501479,106154,70267,33354,5
17/04/2020,Pereira,MEGABUS,2262,-823601438,128221,100186,52276,5
17/04/2020,Cartagena,TRANSCARIBE,334,-976121429,140,9543,45203,5
17/04/2020,Barranquilla,TRANSMETRO,2772,-807868253,144276,110,52,5
17/04/2020,Cali/Valle,MIO,8383,-807722477,436,308387,149213,5
17/04/2020,Medellin,SITVA,30351,-840421919,1901978,1498727,780939,5
17/04/2020,Bogota,TRANSMILENIO/SITP,64801,-832124674,3860061,2499019,1188607,5
18/04/2020,Bucaramanga,METROLINEA,999,-857856462,106154,70267,33354,6
18/04/2020,Pereira,MEGABUS,1726,-827730421,128221,100186,52276,6
18/04/2020,Cartagena,TRANSCARIBE,258,-972964477,140,9543,45203,6
18/04/2020,Barranquilla,TRANSMETRO,2138,-805663636,144276,110,52,6
18/04/2020,Cali/Valle,MIO,5833,-810870757,436,308387,149213,6
18/04/2020,Medellin,SITVA,24028,-83967794,1901978,1498727,780939,6
18/04/2020,Bogota,TRANSMILENIO/SITP,48309,-806690145,3860061,2499019,1188607,6
19/04/2020,Bucaramanga,METROLINEA,532,-840588835,106154,70267,33354,7
19/04/2020,Pereira,MEGABUS,761,-854349989,128221,100186,52276,7
19/04/2020,Cartagena,TRANSCARIBE,117,-974183129,140,9543,45203,7
19/04/2020,Barranquilla,TRANSMETRO,1029,-802115385,144276,110,52,7
19/04/2020,Cali/Valle,MIO,2993,-799394155,436,308387,149213,7
19/04/2020,Medellin,SITVA,11404,-853970669,1901978,1498727,780939,7
19/04/2020,Bogota,TRANSMILENIO/SITP,26619,-776050452,3860061,2499019,1188607,7
20/04/2020,Bucaramanga,METROLINEA,2468,-767526424,106154,70267,33354,1
20/04/2020,Pereira,MEGABUS,2139,-833194251,128221,100186,52276,1
20/04/2020,Cartagena,TRANSCARIBE,382,-972728571,140,9543,45203,1
20/04/2020,Barranquilla,TRANSMETRO,2723,-81125759,144276,110,52,1
20/04/2020,Cali/Valle,MIO,883,-797477064,436,308387,149213,1
20/04/2020,Medellin,SITVA,3096,-837222618,1901978,1498727,780939,1
20/04/2020,Bogota,TRANSMILENIO/SITP,6782,-824303554,3860061,2499019,1188607,1
21/04/2020,Bucaramanga,METROLINEA,2388,-775034384,106154,70267,33354,2
21/04/2020,Pereira,MEGABUS,2131,-833818173,128221,100186,52276,2
